0	1	78	66.5
1	4	77.2	65.8
5	9	73.3	61.9
10	14	68.3	57
15	19	63.4	52
20	24	58.5	47.2
25	29	53.6	42.5
30	34	48.7	37.9
35	39	44	33.6
40	44	39.3	29.4
45	49	34.7	25.4
50	54	30.2	21.7
55	59	25.8	18.2
60	64	21.6	15.1
65	69	17.7	12.6
70	74	13.9	10.1
75	79	10.6	8
80	84	7.7	6.3
85	89	5.4	4.8
90	94	3.8	3.5
95	99	2.6	2.7
100	999	2	2.1
