0	1	67.2	64.1
1	4	69.4	66.9
5	9	66.5	64
10	14	61.8	59.3
15	19	57.1	54.6
20	24	52.4	50
25	29	47.8	45.5
30	34	43.2	41
35	39	38.7	36.4
40	44	34.2	32
45	49	29.9	27.6
50	54	25.6	23.4
55	59	21.5	19.5
60	64	17.6	15.9
65	69	14	12.7
70	74	10.8	9.8
75	79	8	7.4
80	84	5.8	5.4
85	89	4.2	3.9
90	94	3.1	2.8
95	99	2.3	2.1
100	999	1.8	1.6
